,price,product_detail,hyperlink
49,279.99,MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,https://www.newegg.com/msi-geforce-gtx-1660-ti-gtx-1660-ti-ventus-xs-6g-oc/p/N82E16814137392
50,239.99,EVGA GeForce GTX 1660 SC ULTRA GAMING   06G-P4-1067-KR   6GB GDDR5   Dual Fan   Metal Backplate,https://www.newegg.com/evga-geforce-gtx-1660-06g-p4-1067-kr/p/N82E16814487448
51,389.99,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,https://www.newegg.com/msi-geforce-rtx-2060-rtx-2060-gaming-z-6g/p/N82E16814137379
52,359.99,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,https://www.newegg.com/msi-geforce-rtx-2060-rtx-2060-gaming-6g/p/N82E16814137420
53,529.99,ASUS GeForce RTX 2070 Super Overclocked 8G EVO GDDR6 Dual-Fan Edition VR Ready HDMI DisplayPort Gaming Graphics Card (DUAL-RTX2070S-O8G-EVO),https://www.newegg.com/asus-geforce-rtx-2070-super-dual-rtx2070s-o8g-evo/p/N82E16814126332
54,1599.99,EVGA GeForce RTX 2080 Ti FTW3 ULTRA HYDRO COPPER GAMING   11G-P4-2489-KR   11GB GDDR6   RGB LED & iCX2 Technology - 9 Thermal Sensors,https://www.newegg.com/evga-geforce-rtx-2080-ti-11g-p4-2489-kr/p/N82E16814487441
55,269.99,MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER GAMING X 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,https://www.newegg.com/msi-geforce-gtx-1660-super-gtx-1660-super-gaming-x/p/N82E16814137476
56,2499.98,NVIDIA TITAN RTX DirectX 12 900-1G150-2500-000 SB 24GB 384-Bit GDDR6 HDCP Ready Video Card,https://www.newegg.com/nvidia-titan-rtx-900-1g150-2500-000-sb/p/N82E16814132084
57,449.99,ASUS ROG STRIX GeForce RTX 2060 SUPER DirectX 12 ROG-STRIX-RTX2060S-A8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,https://www.newegg.com/asus-geforce-rtx-2060-super-rog-strix-rtx2060s-a8g-gaming/p/N82E16814126333
58,1779.99,EVGA GeForce RTX 2080 Ti K|NGP|N GAMING   11G-P4-2589-KR   11GB GDDR6   iCX2 Technology   OLED Display   Metal Backplate,https://www.newegg.com/evga-geforce-rtx-2080-ti-11g-p4-2589-kr/p/N82E16814487450
59,1179.99,ASUS Dual GeForce RTX 2080 Ti DirectX 12 DUAL-RTX2080TI-O11G 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,https://www.newegg.com/asus-geforce-rtx-2080-ti-dual-rtx2080ti-o11g/p/N82E16814126247
60,249.99,MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER VENTUS XS OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,https://www.newegg.com/msi-geforce-gtx-1660-super-gtx-1660-super-ventus-xs-oc/p/N82E16814137475
61,1099.99,MSI GeForce RTX 2080 Ti DirectX 12 RTX 2080 TI VENTUS 11G OC 11GB 352-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,https://www.newegg.com/msi-geforce-rtx-2080-ti-rtx-2080-ti-ventus-11g-oc/p/N82E16814137351
62,239.99,GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SOC-6GD 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,https://www.newegg.com/gigabyte-geforce-gtx-1660-super-gv-n166soc-6gd/p/N82E16814932224
63,1349.99,GIGABYTE AORUS RTX 2080 TI 11GB DirectX 12 GV-N208TAORUSX W-11GC Video Card,https://www.newegg.com/gigabyte-geforce-rtx-2080-ti-gv-n208taorusx-w-11gc/p/N82E16814932075
64,399.99,GIGABYTE GeForce RTX 2060 Super WINDFORCE OC 8G Graphics Card   2 x WINDFORCE Fans   8GB 256-Bit GDDR6   GV-N206SWF2OC-8GD Video Card,https://www.newegg.com/gigabyte-geforce-rtx-2060-super-gv-n206swf2oc-8gd/p/N82E16814932174
65,539.99,GIGABYTE GeForce RTX 2070 SUPER DirectX 12 GV-N207SGAMINGOC WHITE-8GD 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,https://www.newegg.com/gigabyte-geforce-rtx-2070-super-gv-n207sgamingoc-white-8gd/p/N82E16814932219
66,605.81,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super Armor OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,https://www.newegg.com/msi-geforce-rtx-2070-super-rtx-2070-super-armor-oc/p/N82E16814137446
67,399.99,GIGABYTE GeForce RTX 2060 Super WINDFORCE OC 8G Graphics Card   2 x WINDFORCE Fans   8GB 256-Bit GDDR6   GV-N206SWF2OC-8GD Rev 2.0 Video Card,https://www.newegg.com/gigabyte-geforce-rtx-2060-super-gv-n206swf2oc-8gd-rev-2-0/p/N82E16814932215
68,229.99,EVGA GeForce GTX 1660 SUPER BLACK GAMING Video Card   06G-P4-1061-KR   6GB GDDR6   Single Fan,https://www.newegg.com/evga-geforce-gtx-1660-super-06g-p4-1061-kr/p/N82E16814487484
69,689.99,MSI GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Ventus OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,https://www.newegg.com/msi-geforce-rtx-2080-super-rtx-2080-super-ventus-oc/p/N82E16814137443
70,839.99,GIGABYTE AORUS GeForce RTX 2080 SUPER DirectX 12 GV-N208SAORUS W-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,https://www.newegg.com/gigabyte-geforce-rtx-2080-super-gv-n208saorus-w-8gc/p/N82E16814932206
71,169.99,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,https://www.newegg.com/msi-geforce-gtx-1050-ti-gtx-1050-ti-gaming-x-4g/p/N82E16814137054
72,605.81,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super Armor OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,https://www.newegg.com/msi-geforce-rtx-2070-super-rtx-2070-super-armor-oc/p/N82E16814137446
