price,product_detail,hyperlink
202.99,ASUS ROG STRIX B450-I GAMING AM4 AMD B450 SATA 6Gb/s USB 3.1 HDMI Mini ITX AMD Motherboard,https://www.newegg.com/asus-rog-strix-b450-i-gaming/p/N82E16813119143
349.98,ASUS AMD AM4 PRO WS X570-ACE ATX Workstation Motherboard with 3 PCIe 4.0 x16   Realtek and Intel Gigabit LAN   DDR4 ECC Memory Support   Dual M.2   U.2   and ASUS Control Center Express,https://www.newegg.com/asus-pro-ws-x570-ace/p/N82E16813119194
99.98,ASRock Fatal1ty B450 GAMING K4 AM4 AMD B450 SATA 6Gb/s USB 3.1 HDMI ATX AMD Motherboard,https://www.newegg.com/asrock-fatal1ty-b450-gaming-k4/p/N82E16813157840
193.00,MSI B450M MORTAR TITANIUM AM4 AMD B450 SATA 6Gb/s USB 3.1 HDMI AMD Motherboard,https://www.newegg.com/msi-b450m-mortar-titanium/p/N82E16813144193
93.97,ASRock B450M PRO4-F AM4 AMD Promontory B450 SATA 6Gb/s USB 3.1 HDMI Micro ATX AMD Motherboard,https://www.newegg.com/asrock-b450m-pro4-f/p/N82E16813157870
239.99,ASRock X399 Phantom Gaming 6 sTR4 AMD X399 SATA 6Gb/s USB 3.1 ATX AMD Motherboard,https://www.newegg.com/asrock-x399-phantom-gaming-6/p/N82E16813157861
106.90,ASRock B450M Steel Legend AM4 AMD Promontory B450 SATA 6Gb/s USB 3.1 HDMI Micro ATX AMD Motherboard,https://www.newegg.com/asrock-b450m-steel-legend/p/N82E16813157868
222.07,ASUS ROG Strix X470-I Gaming AM4 AMD X470 SATA 6Gb/s USB 3.1 HDMI Mini ITX AMD Motherboard,https://www.newegg.com/asus-rog-strix-x470-i-gaming/p/N82E16813119101
147.97,MSI PERFORMANCE GAMING X470 GAMING PLUS MAX AM4 AMD X470 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/msi-performance-gaming-x470-gaming-plus-max/p/N82E16813144266
299.99,ASRock X570 TAICHI AM4 AMD Premium X570 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asrock-x570-taichi/p/N82E16813157883
91.17,ASUS TUF B450M-PLUS GAMING AM4 AMD B450 SATA 6Gb/s Micro ATX AMD Motherboard,https://www.newegg.com/asus-tuf-b450m-plus-gaming/p/N82E16813119141
151.99,GIGABYTE B450 Gaming X AM4 AMD B450 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/gigabyte-b450-gaming-x/p/N82E16813145148
139.98,MSI B450M BAZOOKA AM4 AMD B450 SATA 6Gb/s USB 3.1 HDMI AMD Motherboard,https://www.newegg.com/msi-b450m-bazooka/p/N82E16813144196
99.15,MSI ARSENAL GAMING B450M BAZOOKA V2 AM4 AMD B450 SATA 6Gb/s USB 3.1 HDMI Micro ATX AMD Motherboard,https://www.newegg.com/msi-arsenal-gaming-b450m-bazooka-v2/p/N82E16813144232
102.98,ASUS PRIME B450-PLUS AM4 AMD B450 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asus-prime-b450-plus/p/N82E16813119138
78.63,ASRock B450M-HDV AM4 AMD Promontory B450 SATA 6Gb/s USB 3.1 HDMI Micro ATX AMD Motherboard,https://www.newegg.com/asrock-b450m-hdv/p/N82E16813157842
